Order_ID,Customer_ID,Age,Gender,City,Product_Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Date,Rating,Delivery_Days,Returned,Total_Amount
ORD106680,CUST7362,28.0,Male,Hyderabad,Fashion,Shoes,2,2507.76,15.0,Debit Card,2025-08-27,4.1,7.0,No,4263.19
ORD103291,CUST3155,30.0,Female,Delhi,Fashion,Jeans,2,1988.04,25.0,Debit Card,2025-06-18,4.2,4.0,No,2982.06
ORD106559,CUST1349,32.0,Male,Pune,Sports,Yoga Mat,2,776.35,15.0,UPI,2025-01-13,3.6,2.0,No,1319.8
ORD107927,CUST6779,39.0,Female,Chennai,Electronics,Smartwatch,1,7739.89,10.0,UPI,2026-06-01,3.2,6.0,Yes,6965.9
ORD105665,CUST1389,27.0,Male,Chennai,Electronics,Laptop,1,61138.76,5.0,Debit Card,2026-06-17,3.1,5.0,No,58081.82
ORD106062,CUST5590,33.0,Female,Kolkata,Fashion,Jeans,1,1890.11,10.0,COD,2026-05-05,4.0,3.0,No,1701.1
ORD106614,CUST6687,46.0,Male,Hyderabad,Electronics,Smartwatch,1,5999.83,15.0,UPI,2025-06-08,4.4,2.0,No,5099.86
ORD103703,CUST8172,32.0,Male,Ahmedabad,Home & Kitchen,Air Fryer,1,6760.65,20.0,Net Banking,2026-03-01,3.2,4.0,No,5408.52
ORD104915,CUST4603,30.0,Male,Vijayawada,Fashion,Shoes,2,2830.42,5.0,Credit Card,2025-03-16,2.4,5.0,No,5377.8
ORD111336,CUST3292,31.0,Male,Bengaluru,Electronics,Tablet,2,21716.46,10.0,Debit Card,2026-06-07,3.9,8.0,No,39089.63
ORD114026,CUST1090,,Female,Guntur,Fashion,Jacket,1,2828.92,10.0,Debit Card,2026-01-04,3.7,5.0,No,2546.03
ORD111135,CUST3455,40.0,Female,Visakhapatnam,Beauty,Face Wash,3,561.44,15.0,COD,2025-11-07,2.5,,No,1431.66
ORD108157,CUST1599,39.0,Male,Guntur,Sports,Dumbbells,2,2752.01,10.0,COD,2026-05-29,3.6,5.0,No,4953.61
ORD114073,CUST8354,19.0,Female,Delhi,Home & Kitchen,Air Fryer,1,7065.68,5.0,UPI,2026-09-28,4.6,3.0,Yes,6712.4
ORD102407,CUST3853,26.0,Female,Pune,Home & Kitchen,Bedsheet,3,1394.37,,Net Banking,2026-10-05,4.8,4.0,No,3555.64
ORD106077,CUST4290,44.0,Female,Chennai,Home & Kitchen,Cookware Set,2,2855.16,10.0,,2026-05-06,3.9,3.0,No,5139.28
ORD108328,CUST1217,27.0,Male,Hyderabad,Home & Kitchen,Mixer Grinder,1,3882.85,10.0,Debit Card,2026-08-15,4.5,5.0,No,3494.57
ORD101262,CUST6133,33.0,Female,Warangal,Fashion,Jacket,1,2846.17,15.0,Net Banking,2026-09-01,4.0,7.0,No,2419.24
ORD114420,CUST7219,37.0,Male,Kolkata,Electronics,Smartwatch,2,7581.76,10.0,Net Banking,2025-11-09,4.1,4.0,No,13647.18
ORD110605,CUST5646,23.0,Female,Bengaluru,Fashion,Jacket,1,2696.02,0.0,Debit Card,2026-11-15,3.3,1.0,No,2696.02
ORD100477,CUST4551,39.0,Female,Visakhapatnam,Fashion,Jeans,2,1647.5,10.0,Debit Card,2025-11-10,4.8,2.0,No,2965.51
ORD109192,CUST3857,44.0,Male,Delhi,Fashion,Handbag,3,2482.46,15.0,UPI,2025-11-27,2.9,4.0,Yes,6330.27
ORD100488,CUST5897,31.0,Male,Mumbai,Electronics,Tablet,2,19950.5,5.0,UPI,2025-12-12,4.4,3.0,Yes,37905.95
ORD100380,CUST5574,25.0,Female,Delhi,Beauty,Face Wash,1,489.3,0.0,Credit Card,2026-11-09,4.6,6.0,No,489.3
ORD110960,CUST5355,45.0,Female,Visakhapatnam,Books,Exam Guide,1,789.37,20.0,Net Banking,2025-05-07,4.0,2.0,No,631.49
ORD103861,CUST8401,48.0,Female,Chennai,Fashion,Jacket,3,2874.16,20.0,Debit Card,2026-08-29,3.4,6.0,Yes,6897.98
ORD101324,CUST1369,40.0,Female,Warangal,Beauty,Moisturizer,1,604.47,15.0,Debit Card,2025-09-04,3.2,5.0,No,513.8
ORD102907,CUST4710,30.0,Male,Bengaluru,Books,Biography,2,709.99,15.0,Net Banking,2025-09-03,4.9,7.0,No,1206.98
ORD105203,CUST1155,36.0,Male,Kolkata,Electronics,Smartwatch,2,7247.0,20.0,Credit Card,2025-04-07,4.2,3.0,No,11595.2
ORD101492,CUST5472,47.0,Female,Mumbai,Sports,Cricket Bat,1,3141.01,15.0,COD,2026-01-04,3.5,8.0,No,2669.86
ORD113500,CUST3055,28.0,Male,Mumbai,Beauty,Moisturizer,1,694.95,10.0,COD,2025-02-12,3.6,3.0,Yes,625.46
ORD107337,CUST6755,28.0,Female,Ahmedabad,Home & Kitchen,Cookware Set,1,2920.18,0.0,Debit Card,2025-09-30,,1.0,No,2920.18
ORD101656,CUST2372,22.0,Male,Visakhapatnam,Fashion,Handbag,2,1955.55,5.0,Net Banking,2025-10-28,2.9,4.0,No,3715.55
